scenario_id,split,method,travel_metric,candidates,returned,unique_categories,category_entropy,mean_distance_km
DN-HOLD-02,holdout,content,geographic_distance,105,10,4,1.3567796494470397,6.208830470506086
DN-HOLD-02,holdout,equal,geographic_distance,105,10,4,1.3567796494470397,3.9498510771612603
DN-HOLD-02,holdout,crisp,geographic_distance,105,10,3,1.1567796494470395,4.106966088378415
DN-HOLD-02,holdout,fuzzy,geographic_distance,105,10,3,1.1567796494470395,4.106966088378415
DN-HOLD-03,holdout,nearby,geographic_distance,111,10,2,1.0,0.10356481422811273
DN-HOLD-03,holdout,quality,geographic_distance,111,10,6,2.321928094887362,11.004084223992239
DN-HOLD-03,holdout,content,geographic_distance,111,10,3,1.5709505944546684,8.808249697599674
DN-HOLD-03,holdout,equal,geographic_distance,111,10,3,1.3709505944546687,1.0156724395312167
DN-HOLD-03,holdout,crisp,geographic_distance,111,10,4,1.9709505944546686,4.541189552889329
DN-HOLD-03,holdout,fuzzy,geographic_distance,111,10,4,1.9709505944546686,4.541189552889329
DN-HOLD-04,holdout,nearby,geographic_distance,95,10,5,2.0464393446710156,14.773168122590913
DN-HOLD-04,holdout,quality,geographic_distance,95,10,7,2.6464393446710153,29.698397661427634
DN-HOLD-04,holdout,content,geographic_distance,95,10,6,2.321928094887362,24.91371600289345
DN-HOLD-04,holdout,equal,geographic_distance,95,10,5,2.1219280948873624,21.12280524718894
DN-HOLD-04,holdout,crisp,geographic_distance,95,10,5,2.1219280948873624,24.016557775895613
DN-HOLD-04,holdout,fuzzy,geographic_distance,95,10,5,2.1219280948873624,24.016557775895613
DN-HOLD-05,holdout,nearby,geographic_distance,106,10,3,1.3609640474436813,0.9647825911665286
DN-HOLD-05,holdout,quality,geographic_distance,106,10,6,2.321928094887362,14.569101069122059
DN-HOLD-05,holdout,content,geographic_distance,106,10,3,1.3609640474436813,9.77525718416006
DN-HOLD-05,holdout,equal,geographic_distance,106,10,4,1.5709505944546687,3.5054987903445536
DN-HOLD-05,holdout,crisp,geographic_distance,106,10,3,0.9219280948873623,2.4896565262932446
DN-HOLD-05,holdout,fuzzy,geographic_distance,106,10,3,0.9219280948873623,2.4896565262932446
DN-HOLD-06,holdout,nearby,geographic_distance,114,10,3,1.3609640474436813,0.9647825911665286
DN-HOLD-06,holdout,quality,geographic_distance,114,10,6,2.4464393446710155,5.629217094802
DN-HOLD-06,holdout,content,geographic_distance,114,10,3,1.1567796494470395,4.303839100207894
DN-HOLD-06,holdout,equal,geographic_distance,114,10,7,2.721928094887362,1.9351760167614298
DN-HOLD-06,holdout,crisp,geographic_distance,114,10,5,2.1219280948873624,2.05706757461689
DN-HOLD-06,holdout,fuzzy,geographic_distance,114,10,5,2.1219280948873624,2.05706757461689
