split,method,unique_categories,category_entropy,mean_distance_km
development,content,2.75,0.890468570732828,4.597355837532853
development,crisp,2.25,0.8420918598895943,2.671536988000125
development,equal,3.0,1.1093407582869146,2.563011575773933
development,fuzzy,2.25,0.8420918598895943,2.671536988000125
development,nearby,3.5,1.4634606841964282,0.44302305786890417
development,quality,5.75,2.1464393446710153,7.685119726427966
holdout,content,3.0,1.1375427838238121,8.712297947131532
holdout,crisp,3.5,1.36794895458835,6.142535514905372
holdout,equal,4.083333333333333,1.6073577541983548,5.410545631899979
holdout,fuzzy,3.5,1.36794895458835,6.142535514905372
holdout,nearby,4.0,1.6651022423427706,2.1208899904443177
holdout,quality,5.583333333333333,2.117191219634958,9.538829109092513
