location,normalized_name,count,ids
Hà Nội,bun rieu ca truong sa,2,osm:node:10255192016 | osm:node:10257020099
Hà Nội,bun dau,2,osm:node:11152959980 | osm:node:14054774703
Hà Nội,bun cha que tre,2,osm:node:12657776443 | osm:node:8527541117
Hà Nội,bun cha dac kim,2,osm:node:4151407589 | osm:node:6957667188
Hà Nội,bun bo hue o xuan,2,osm:node:11500070701 | osm:node:7213953186
Hà Nội,bo de quan,2,osm:node:4611124990 | osm:node:6699204786
Hà Nội,bingxue,2,osm:node:12981698362 | osm:way:1329845915
Hà Nội,big bowl,2,osm:node:12540668712 | osm:node:13284316426
Hà Nội,banh trang be my,2,osm:node:11212195531 | osm:node:12644690080
Hà Nội,phuc long,2,osm:node:6603990855 | osm:node:8929706309
Hà Nội,pho tu lun,2,osm:node:11683507069 | osm:node:5459555822
Hà Nội,pho thin,2,osm:node:4186819465 | osm:node:7217547685
Hà Nội,the alley,2,osm:node:11659995709 | osm:node:7178800608
Hà Nội,texas chicken,2,osm:node:12589868466 | osm:node:9738784253
Hà Nội,tam chay,2,osm:node:6842653487 | osm:node:8602235218
Hà Nội,sumo bbq,2,osm:way:1246805135 | osm:way:892577396
Hà Nội,street sushi,2,osm:node:11521920510 | osm:node:4622570694
Hà Nội,star cafe,2,osm:node:13284316425 | osm:node:9952063417
Hà Nội,smile coffee,2,osm:node:5838270900 | osm:node:6751770911
Hà Nội,skyline coffee,2,osm:node:10114776452 | osm:node:11777328869
Hà Nội,shogun,2,osm:way:1249564975 | osm:way:1331668369
Hà Nội,shang chi,2,osm:node:12245679310 | osm:way:1331668370
Hà Nội,royaltea,2,osm:node:11618650227 | osm:node:5485791237
Hà Nội,roll house,2,osm:way:1330108346 | osm:way:1331658951
Hà Nội,refined,2,osm:node:13617118603 | osm:way:944825022
Hà Nội,quan thi met,2,osm:node:3684899299 | osm:node:3684980414
Hà Nội,quan nhau tu do,2,osm:node:12628841472 | osm:way:1255503501
Hà Nội,quan co restaurant,2,osm:node:10240244250 | osm:way:1121390716
Hà Nội,xuong cafe,2,osm:node:5485852162 | osm:node:8171527817
Hà Nội,xoi yen,2,osm:node:4210706604 | osm:node:5966485585
Hà Nội,wrap roll,2,osm:node:5044649521 | osm:way:899514942
Hà Nội,vuon thuc vat,2,osm:node:7055942204 | osm:way:1248970095
Hà Nội,vuon hoa hoang van thu,2,osm:way:1290167945 | osm:way:769918656
Hà Nội,vuon hoa gia quat,2,osm:way:1174290221 | osm:way:704292580
Hà Nội,vuon hoa dang thuy tram,2,osm:way:1120491144 | osm:way:1120491145
Hà Nội,veggie castle,2,osm:node:6127555185 | osm:node:6698890634
Hà Nội,valhalla grill,2,osm:node:6136355785 | osm:node:6288275185
Hà Nội,tuong dai ly tu trong,2,osm:node:5025409279 | osm:node:5630770368
Hà Nội,tra sua lofi,2,osm:node:10219271553 | osm:node:10255708095
Hà Nội,to quoc ghi cong,2,osm:node:8772191067 | osm:way:1135119283
Hà Nội,tiem banh mi,2,osm:node:5288964825 | osm:node:7189825573
Hà Nội,thung lung hoa ho tay,2,osm:node:8318010619 | osm:way:194445558
Hà Nội,the sipping bar,2,osm:node:11521920520 | osm:node:9669902669
Hà Nội,the root boardgame cafe,2,osm:node:11308694306 | osm:node:12300636545
Hưng Yên,chua chuong,2,osm:way:1286518056 | osm:way:1429688836
Hà Tĩnh,mau ky anh,2,osm:node:4346788489 | osm:node:4348556912
Hà Tĩnh,den vo mieu,2,osm:node:5373874858 | osm:way:556942842
Hà Nội,yutang,2,osm:node:8357763622 | osm:way:1331668337
Hà Nội,banh mi sai gon,2,osm:node:10213826362 | osm:node:13640024701
Hà Nội,banh mi pho,2,osm:node:10786488995 | osm:node:11212149493
Hà Nội,banh cuon nong,2,osm:node:11345867151 | osm:node:11590640359
Hà Nội,banh cuon gia truyen thanh van,2,osm:node:10298693328 | osm:node:11591740419
Hà Nội,ba ba son dong,2,osm:node:7055985628 | osm:way:1219438153
Hà Nội,an vat me sua,2,osm:node:11452175807 | osm:node:12651100308
Hà Nội,an cafe,2,osm:node:12768414701 | osm:node:6938840285
Hà Nội,al fresco s,2,osm:node:4659379693 | osm:way:899514956
Hà Nội,aha,2,osm:node:10120064768 | osm:node:14074419963
Hà Nội,1992 quan,2,osm:node:10240190081 | osm:node:10258564244
Hà Nội,1,2,osm:node:11655592469 | osm:way:548079302
Hà Nội,yi he tang,2,osm:node:11389436637 | osm:node:11462471455
Hồ Chí Minh,bach van dien,2,osm:node:13684278301 | osm:node:13690260201
Hải Phòng,vuon hoa dong khe,2,osm:way:1123723059 | osm:way:1126747039
Hải Phòng,vuon hoa an bien,2,osm:node:7306070102 | osm:way:236743183
Hải Phòng,quang truong thong nhat,2,osm:node:7324276966 | osm:way:770242619
Hải Phòng,mieu,2,osm:node:2487493520 | osm:node:2487493521
Hải Phòng,dinh lung bac,2,osm:way:240982996 | osm:way:240983621
Hải Phòng,den tho bac ho,2,osm:node:2496920815 | osm:way:962922485
Hải Phòng,den thanh duc me man coi nam am,2,osm:way:1130734861 | osm:way:1130757528
Hải Phòng,chua do,2,osm:way:241199235 | osm:way:628043709
Hưng Yên,giao xu cat noi,2,osm:node:13286851705 | osm:way:1448152374
Hưng Yên,cong vien cha la 1,2,osm:node:13083692966 | osm:way:1148275990
Hưng Yên,chua thon kim nguu,2,osm:way:1479833525 | poi-google:f77ffe2372f6cae467fe2e90
Hưng Yên,chua sam khuc,2,osm:way:1429645007 | osm:way:1429645056
Hưng Yên,chua phuoc hung,2,osm:node:13137758093 | osm:way:1429183246
Hưng Yên,chua nom,2,osm:node:13140314973 | osm:way:1429436252
Hưng Yên,chua keo,2,osm:node:4225615789 | osm:node:5586197821
Gia Lai,thap banh it,2,osm:way:252581207 | osm:way:677227553
Gia Lai,nha tho phu my,2,osm:node:6437358550 | poi-google:2deeef8ef32bb2c16fd0ef00
Hồ Chí Minh,chua ho phap,2,osm:way:270569234 | osm:way:744898250
Hồ Chí Minh,chua hai quang,2,osm:way:1225163272 | osm:way:155103538
Hồ Chí Minh,chua giac tam,2,osm:node:11225280530 | osm:way:744059375
Hồ Chí Minh,chua giac quang,2,osm:node:11063450896 | osm:way:683113629
Hồ Chí Minh,chua giac nguyen,2,osm:way:1314396551 | osm:way:418085086
Hồ Chí Minh,chua giac hai,2,osm:way:1210315493 | osm:way:1309219515
Hồ Chí Minh,chua duoc su,2,osm:way:604645424 | osm:way:761235166
Hồ Chí Minh,chua duc quang,2,osm:node:9584833487 | osm:way:683910618
Hồ Chí Minh,chua dai giac,2,osm:node:2995947269 | osm:way:316834301
Hồ Chí Minh,chua chau hung,2,osm:way:740984104 | osm:way:750619593
Hồ Chí Minh,chua buu thanh,2,osm:node:9593386635 | osm:way:608345310
Hồ Chí Minh,chua buu lam,2,osm:way:1309219495 | osm:way:750088159
Hồ Chí Minh,chua bo de,2,osm:node:7561041146 | osm:way:792193848
Hồ Chí Minh,chua an linh,2,osm:way:1144380325 | osm:way:569352623
Hồ Chí Minh,chua linh son hai hoi,2,osm:node:11058996842 | osm:way:1308615194
Hồ Chí Minh,chua kim lien,2,osm:way:683113618 | osm:way:786450853
Hồ Chí Minh,chua hung phu,2,osm:way:561873630 | osm:way:612643951
Hồ Chí Minh,chua hue quang,2,osm:node:2975431334 | osm:way:747273570
Hồ Chí Minh,chua hoi phuoc,2,osm:way:594479802 | poi-google:348eb7e8c25790b64d09ecbb
Huế,trung tam thanh thieu nhi hue,2,osm:way:118541971 | osm:way:695775607
Huế,to quoc ghi cong,2,osm:node:4791640322 | osm:node:5326790724
Huế,mieu xom khe,2,osm:node:1335374765 | osm:node:1335374875
Huế,mieu ngai khai,2,osm:node:1335374751 | osm:node:1335374795
Huế,mieu con cop,2,osm:node:1335374742 | osm:node:1335374903
Huế,mieu ba,2,osm:node:1335374763 | osm:node:1335374872
Huế,huu truong lang,2,osm:way:617944738 | osm:way:695810789
Huế,chua kim quang,2,osm:node:13663930534 | osm:node:13664799314
Huế,boi tran garden,2,osm:node:9518711737 | osm:way:1050684699
Gia Lai,tinh xa ngoc hoa,2,osm:node:12121873209 | osm:node:5336909223
Gia Lai,thap duong long,2,osm:node:11784634071 | osm:way:231894919
Cần Thơ,cong vien 178,2,osm:way:543238430 | osm:way:543238431
Cần Thơ,chua soai con,2,osm:node:6382054187 | osm:way:682076325
Cần Thơ,chua se ray vong sa,2,osm:way:695039563 | osm:way:695039564
Hồ Chí Minh,chua phuoc long,2,osm:way:1209795107 | osm:way:691227614
Hồ Chí Minh,chua phuoc hoa,2,osm:node:2677242469 | osm:node:5001800277
Hồ Chí Minh,chua phuoc hai,2,osm:way:518720097 | osm:way:757223925
Hồ Chí Minh,chua pho da,2,osm:way:737864988 | osm:way:744059396
Hồ Chí Minh,chua phat buu,2,osm:way:1314396552 | osm:way:166499268
Hồ Chí Minh,chua phap tri,2,osm:way:1144380310 | osm:way:503561767
Hồ Chí Minh,chua phap buu,2,osm:relation:19811318 | osm:way:752685430
Hồ Chí Minh,chua phap an,2,osm:way:1144380323 | osm:way:744254963
Hồ Chí Minh,chua niet ban,2,osm:node:8787772758 | osm:node:9587329640
Hồ Chí Minh,chua mot cot,2,osm:node:3230436393 | osm:way:589315585
Hồ Chí Minh,chua long van,2,osm:node:12733263316 | osm:way:1415343216
Hồ Chí Minh,chua long quy,2,osm:node:1276315503 | osm:way:740984122
Hồ Chí Minh,chua long an,2,osm:way:466316397 | osm:way:572666287
Hồ Chí Minh,chua sac tu truong tho,2,osm:node:4131719809 | osm:way:1518080737
Hồ Chí Minh,chua quang duc,2,osm:node:9584911962 | osm:way:748986258
Hồ Chí Minh,chua quang buu,2,osm:node:9593386633 | osm:way:605281192
Hồ Chí Minh,chua quan the am,2,osm:node:4813074237 | osm:way:355866759
Gia Lai,cong vien trung tam,2,osm:way:230797836 | osm:way:685452011
Gia Lai,cong vien,2,osm:way:1340529393 | osm:way:1340586473
Gia Lai,chua long khanh,2,osm:node:1532249206 | osm:way:300672242
Gia Lai,bao tang binh doan tay nguyen,2,osm:way:1019040796 | poi-google:b5ec2cd317a507240311efd8
Cần Thơ,thoi long co tu,2,osm:node:5256988878 | osm:way:166553255
Cần Thơ,orchard with fruit tasting,2,osm:node:12334098401 | osm:way:1455066448
Cần Thơ,nha tho an thanh,2,osm:node:5177654983 | osm:way:166671405
Cần Thơ,mieu ba chua xu,2,osm:node:6387581401 | osm:way:671242029
Cần Thơ,giao xu den thanh giuse an binh,2,osm:node:3737011402 | osm:way:369966234
Cần Thơ,cong vien song hau,2,osm:node:5177612395 | osm:way:1062498634
Cần Thơ,cong vien luu huu phuoc,2,osm:node:5211512490 | osm:way:119276473
Cần Thơ,cong vien co do,2,osm:way:1107303481 | osm:way:777891299
Hồ Chí Minh,chua van tho,2,osm:node:5568791023 | osm:way:1216840362
Hồ Chí Minh,chua van phuoc,2,osm:node:5595863031 | osm:way:744585760
Hồ Chí Minh,chua tuong quang,2,osm:way:1309219494 | osm:way:683910665
Hồ Chí Minh,chua tu an,2,osm:way:421970912 | osm:way:612643954
Hồ Chí Minh,chua truong thanh,2,osm:node:9584838627 | osm:way:806860835
Hồ Chí Minh,chua truc lam,2,osm:way:675750811 | osm:way:744059382
Hồ Chí Minh,chua tinh quang,2,osm:way:729092260 | osm:way:741590924
Hồ Chí Minh,chua thien tinh,2,osm:node:9593196276 | osm:way:1215596734
Hồ Chí Minh,chua thien quang,2,osm:way:1232939478 | osm:way:740984161
Hồ Chí Minh,chua thien lam,2,osm:node:11054429258 | osm:way:856455192
Hồ Chí Minh,chua thien an,2,osm:way:737008866 | osm:way:986885040
Hồ Chí Minh,chua thanh tam,2,osm:node:11091242593 | osm:way:1228058639
Hồ Chí Minh,chua tay thien,2,osm:way:1144380314 | osm:way:420287567
Hồ Chí Minh,chua tam buu,2,osm:node:11056339475 | osm:way:1219698159
Hồ Chí Minh,chua tam bao,2,osm:node:9584833488 | osm:way:792193852
Hồ Chí Minh,chua sung chinh,2,osm:node:4813074210 | osm:way:489019402
Cà Mau,nha tho ho dao cai cam,2,osm:way:1301999309 | osm:way:1301999329
Cà Mau,lang ong nam hai,2,osm:node:5452836123 | osm:node:6275635220
Cà Mau,dinh tan hung,2,osm:way:907748881 | osm:way:907748974
Cao Bằng,paper manufacture,2,osm:node:13378657608 | osm:node:13378657680
Cao Bằng,den ba hoang,2,osm:node:9956193980 | osm:way:1383798860
Hồ Chí Minh,cong vien van hoa dam sen,2,osm:way:1168427916 | osm:way:32735046
Hồ Chí Minh,cong vien thanh nien,2,osm:way:119409664 | osm:way:809399808
Hồ Chí Minh,cong vien noi khu,2,osm:way:1307726692 | osm:way:307668924
Hồ Chí Minh,cong vien midori,2,osm:way:1498101012 | osm:way:1498101013
Hồ Chí Minh,cong vien lang hoa go vap,2,osm:node:9587618724 | osm:way:262963870
Hồ Chí Minh,cong vien duong 4,2,osm:node:5894538758 | osm:way:624223367
Hồ Chí Minh,cong vien da cau sai gon,2,osm:way:596819406 | osm:way:724654960
Hồ Chí Minh,cong vien cuu long,2,osm:way:189027781 | osm:way:741547860
Hồ Chí Minh,cong vien ben bach dang,2,osm:way:1056572948 | osm:way:472074784
Hồ Chí Minh,chua vinh phuoc,2,osm:node:6319111467 | osm:way:675572227
Hồ Chí Minh,chua vien quang,2,osm:node:5770166507 | osm:way:729092308
Hồ Chí Minh,dia dao phu tho hoa,2,osm:node:4131725789 | osm:way:612890930
Hồ Chí Minh,dia dao ben duoc,2,osm:node:4171787601 | osm:way:973258391
Hồ Chí Minh,cong vien vo van kiet,2,osm:way:189027787 | osm:way:189027797
Hồ Chí Minh,cong vien vo thi sau,2,osm:way:259046004 | osm:way:751056604
Hồ Chí Minh,cong vien van hoa lang le bau co,2,osm:node:6539155592 | osm:way:493251141
Cần Thơ,chua quan am,2,osm:node:1777889652 | osm:way:1462254702
Cần Thơ,chua phuoc thanh,2,osm:node:1806798967 | osm:way:1436325301
Cần Thơ,chua phuoc lam,2,osm:way:1515168293 | osm:way:667662290
Cần Thơ,chua phat hoc,2,osm:way:543313532 | osm:way:668869945
Cần Thơ,chua ong bon,2,osm:way:668449712 | osm:way:682095541
Cần Thơ,chua ong,2,osm:node:1924771927 | osm:way:671060394
Cần Thơ,chua linh quang tu,2,osm:way:695039561 | osm:way:695039562
Cần Thơ,chua la han,2,osm:way:669124973 | osm:way:669125008
Cần Thơ,chua huong son,2,osm:node:3867252201 | osm:way:668869864
Cần Thơ,chua ba,2,osm:node:6247192354 | osm:node:6528661009
Cà Mau,phat ba nam hai,2,osm:node:4407485889 | osm:way:225533933
Hồ Chí Minh,dinh than vinh phu,2,osm:way:907748789 | osm:way:907749131
Hồ Chí Minh,dinh than tan hoi,2,osm:way:907749130 | osm:way:907749140
Hồ Chí Minh,dinh than tan an,2,osm:way:1344367131 | osm:way:907749132
Hồ Chí Minh,dinh than my thanh,2,osm:way:604136715 | osm:way:898412304
Hồ Chí Minh,dinh than binh chanh,2,osm:way:589903336 | osm:way:907748972
Hồ Chí Minh,dinh thai binh,2,osm:way:771415504 | osm:way:899712058
Hồ Chí Minh,dinh tan thoi,2,osm:way:1389035101 | osm:way:322861011
Hồ Chí Minh,dinh tan dong,2,osm:way:1208021755 | osm:way:907749079
Hồ Chí Minh,dinh tan an,2,osm:way:1267828465 | osm:way:826547721
Hồ Chí Minh,dinh phu thanh,2,osm:way:773611872 | osm:way:818502187
Hồ Chí Minh,dinh phu nhuan,2,osm:node:4131725796 | osm:way:1233983136
Hồ Chí Minh,dinh phu hoa,2,osm:way:1210315501 | osm:way:771449013
Hồ Chí Minh,dinh phong phu,2,osm:way:604897393 | osm:way:910459936
Hồ Chí Minh,dinh binh khanh,2,osm:way:1344043010 | osm:way:1389035107
Hồ Chí Minh,dinh binh hoa,2,osm:relation:20714368 | osm:way:1210468034
Hồ Chí Minh,dinh an phu,2,osm:way:604845950 | osm:way:907749184
Hồ Chí Minh,nha tho hung phu,2,osm:node:9584599328 | osm:way:420287581
Hồ Chí Minh,nha tho giao xu suoi rao,2,osm:way:574069811 | poi-google:3d1240e4b3e1de1489b555c6
Hồ Chí Minh,nha tho dac lo,2,osm:node:9587309958 | osm:way:1235472350
Hồ Chí Minh,nha tho binh thuan,2,osm:node:9593358313 | osm:way:1215518803
Hồ Chí Minh,nha nguyen thanh tam,2,osm:way:1473644568 | osm:way:729092305
Hồ Chí Minh,mieu thay cai,2,osm:way:1144380315 | poi-google:a0233c5e0837e136b8ad0d7e
Hồ Chí Minh,mieu nam co,2,osm:way:750745976 | osm:way:750745977
Hồ Chí Minh,mieu ba cay truong,2,osm:way:740984119 | poi-google:350f6f038953d6b0551ad0c6
Hồ Chí Minh,lang ong thuy tuong,2,osm:way:754264564 | osm:way:895209260
Hồ Chí Minh,kieu dam ni tu,2,osm:node:5672638088 | osm:way:263506645
Hồ Chí Minh,khu du lich van thanh,2,osm:node:9587268685 | osm:way:32735045
Hồ Chí Minh,hai an ni tu,2,osm:node:9671017353 | osm:way:1557987423
Hồ Chí Minh,giao xu dat do,2,osm:way:259046009 | osm:way:569352562
Hồ Chí Minh,dong co lau 3,2,osm:way:751042596 | osm:way:751042597
Hồ Chí Minh,dinh vinh phuoc,2,osm:way:612114943 | osm:way:907749137
Hồ Chí Minh,dinh vinh hoi,2,osm:way:187949842 | osm:way:420287800
Bắc Ninh,cong vien nguyen nhan bi,2,osm:node:8904957855 | osm:way:962675095
Bắc Ninh,cong vien giang lieu,2,osm:way:1427623601 | osm:way:1427623603
Hồ Chí Minh,the commons thu thiem,2,osm:node:14014006893 | osm:way:1540771314
Hồ Chí Minh,tanaka tei,2,osm:node:5382283921 | poi-google:3396c45d9aae3215351f2b33
Hồ Chí Minh,song vi dai chet vinh quang,2,osm:relation:4589744 | osm:way:328191705
Hồ Chí Minh,quan am cac,2,osm:way:1213777937 | osm:way:744059397
Hồ Chí Minh,phat buu tu,2,osm:way:595963443 | osm:way:691968365
Hồ Chí Minh,nha tho vinh son,2,osm:way:495697563 | osm:way:901651364
Hồ Chí Minh,nha tho thuan phat,2,osm:way:377422765 | osm:way:838400065
Hồ Chí Minh,nha tho thanh tam,2,osm:way:683917144 | osm:way:691040903
Hồ Chí Minh,nha tho thanh mau,2,osm:node:9586838815 | osm:way:495698482
Hồ Chí Minh,nha tho thanh giuse tho,2,osm:node:9587536843 | osm:way:682250552
Hồ Chí Minh,nha tho thanh an ton,2,osm:way:684291658 | osm:way:806860809
Hồ Chí Minh,nha tho sao mai,2,osm:way:237612655 | osm:way:495697577
Hồ Chí Minh,nha tho lang son,2,osm:node:9593240655 | osm:way:327447647
Hồ Chí Minh,nha tho khanh hoi,2,osm:way:1474294608 | osm:way:192214961
Hồ Chí Minh,tinh xa ngoc duc,2,osm:way:1314190866 | osm:way:744059366
Hồ Chí Minh,tinh xa ngoc binh,2,osm:node:9593196286 | osm:way:1144380328
Hồ Chí Minh,tinh that buu hoa,2,osm:node:12188483628 | osm:way:748916976
Hồ Chí Minh,thien vien nguyen thuy,2,osm:node:9587204850 | osm:way:1306624189
Bắc Ninh,vuon hoa cang dap cau,2,osm:way:1442165949 | osm:way:962685567
Bắc Ninh,vuon hoa 10 kha le,2,osm:node:12319043888 | osm:way:1331423729
Bắc Ninh,mieu,2,osm:way:1498699596 | osm:way:661161573
Bắc Ninh,lang nguyen phi y lan,2,osm:node:13324564232 | osm:way:649534603
Bắc Ninh,hau dien,2,osm:way:1498699577 | osm:way:1498699579
Bắc Ninh,dinh lang tho khe,2,osm:node:13556032881 | osm:way:1477812280
Bắc Ninh,dinh lang phu xa,2,osm:node:14075933898 | osm:way:1547591319
Bắc Ninh,dinh lang dong xuat,2,osm:node:13556032966 | osm:way:1477812293
Bắc Ninh,den dong ky,2,osm:way:1498699580 | osm:way:1498699582
Bắc Ninh,den ba chua kho,2,osm:node:4713519694 | osm:way:1402174620
Bắc Ninh,cong vien tam lu,2,osm:way:1256790914 | osm:way:1256790915
Bắc Ninh,cong vien nguyen phi y lan,2,osm:way:808726355 | osm:way:962686041
Khánh Hoà,ruong muoi,2,osm:node:13118872106 | osm:node:13118872107
Khánh Hoà,nha lam viec cua bac si yersin,2,osm:way:1545639452 | osm:way:1545639453
Khánh Hoà,nam mo da bao phat,2,osm:node:11527158960 | osm:node:11527179496
Khánh Hoà,lang nghe truong son,2,osm:node:11929829169 | osm:node:7248365886
Khánh Hoà,khu tuong niem chien si gac ma,2,osm:node:12805852194 | osm:node:5047534424
Khánh Hoà,dai tuong niem liet si,2,osm:node:5302045712 | osm:way:1546195305
Khánh Hoà,chua truong tho,2,osm:node:11535954294 | osm:node:14030478613
Khánh Hoà,chua thien phuoc,2,osm:node:13605035629 | osm:node:14030630132
Khánh Hoà,chua tan long,2,osm:node:3380955463 | osm:way:1546876404
Khánh Hoà,chua phuoc dien,2,osm:node:14063061165 | osm:way:1529010850
Hồ Chí Minh,tu vien vinh duc,2,osm:node:9587618754 | osm:way:1306624222
Hồ Chí Minh,tinh xa ngoc tien,2,osm:node:6969093892 | osm:node:6969093920
Hồ Chí Minh,tinh xa ngoc thanh,2,osm:node:3377464221 | osm:node:5432952098
Hồ Chí Minh,tinh xa ngoc son,2,osm:node:8787772760 | osm:way:578136741
Hồ Chí Minh,tinh xa ngoc lam,2,osm:node:5537927428 | osm:way:691968380
Hồ Chí Minh,tinh xa ngoc hai,2,osm:way:691444067 | osm:way:736669973
Lâm Đồng,thac pongour,2,osm:node:11847045481 | osm:node:4961718824
Lâm Đồng,ga da lat,2,osm:node:5661470624 | osm:relation:17877171
Lâm Đồng,cong vien vo van kiet,2,osm:way:261181197 | osm:way:669630370
Lâm Đồng,cong vien nguyen hue,2,osm:way:168964517 | osm:way:168964519
Lâm Đồng,cong vien loc vung,2,osm:way:675609220 | osm:way:675609221
Lâm Đồng,cong vien hoa binh,2,osm:node:6816894516 | osm:way:675609214
Lâm Đồng,chua phat hoc,2,osm:node:7108856826 | osm:way:261881688
Lâm Đồng,chua phap hoa,2,osm:node:11277721776 | osm:way:653946642
Lâm Đồng,chua linh bao,2,osm:way:475032481 | poi-google:3fc3b3ff808a5a1d7809694a
Lâm Đồng,chua khanh van,2,osm:node:6344700974 | osm:way:677618844
Lâm Đồng,cay thong co don,2,osm:node:5276928222 | osm:node:5666387521
Lâm Đồng,bia tuong niem,2,osm:node:13624524401 | osm:node:7108856813
Lâm Đồng,bao tang ho chi minh,2,osm:node:2673080246 | osm:way:541543886
Lào Cai,waterfall,2,osm:node:12357597944 | osm:node:4252023719
Lào Cai,muong hoa valley,2,osm:node:11377884269 | osm:node:5918784285
Lào Cai,,2,osm:node:13357269011 | osm:relation:19808367
Phú Thọ,cong vien doi cao,2,osm:node:8980937102 | osm:way:970449051
Phú Thọ,chua an son,2,osm:node:5628801046 | osm:way:588322161
Phú Thọ,bao tang hung vuong,2,osm:node:7189828683 | osm:way:1450794207
Ninh Bình,vuon hoa dien bien,2,osm:way:770242548 | osm:way:770242549
Ninh Bình,to quoc ghi cong,2,osm:node:5350591721 | osm:node:5358516721
Ninh Bình,phu van cat,2,osm:way:163105323 | osm:way:163105324
Ninh Bình,pagoda,2,osm:node:12728012201 | osm:node:7041290607
Ninh Bình,lang theu an hoa,2,osm:node:9959092217 | osm:node:9959105917
Ninh Bình,khong temple,2,osm:node:13388919549 | osm:node:4496334590
Ninh Bình,dong am tiem,2,osm:node:5973661787 | osm:node:7222461185
Ninh Bình,dien tam the,2,osm:way:1386126641 | osm:way:449263547
Ninh Bình,dien quan am,2,osm:way:1386126640 | osm:way:449266754
Nghệ An,ong hoang muoi 2,2,osm:node:14131061102 | osm:node:14131078101
Nghệ An,lang noi dat tru son,2,osm:node:9959749517 | osm:node:9959751217
Lâm Đồng,vuon hoa thanh pho da lat,2,osm:node:11916349146 | osm:way:473547263
Lâm Đồng,thap po sah inu,2,osm:node:491586802 | osm:node:5933150585
An Giang,quang truong huu nghi,2,osm:way:1159194090 | osm:way:1159194091
An Giang,phuoc dien tu,2,osm:way:696698294 | osm:way:696698299
Thanh Hoá,pagoda,2,osm:node:6330279018 | osm:node:6330280389
Sơn La,ta xua,2,osm:node:4842817621 | osm:node:5132908921
Quảng Trị,to quoc ghi cong,2,osm:node:8079921350 | osm:way:87200823
Quảng Trị,sea view,2,osm:node:13103961466 | osm:node:13103977202
Quảng Trị,ducmelavang,2,osm:node:7298324386 | osm:node:7300993488
Quảng Trị,dinh lang cao hy,2,osm:way:833212762 | poi-google:1d43f5dce75b0d0e22b4396d
Quảng Trị,debut balade moto,2,osm:node:10610602506 | osm:node:10610632105
Quảng Ninh,high long mountain,2,osm:node:13264947301 | osm:node:13264947401
Quảng Ninh,,2,osm:way:1174302224 | osm:way:1494115173
Quảng Ngãi,cong vien uhome kdc bac le loi,2,osm:node:14182622490 | osm:way:1559048467
Phú Thọ,nam xuyen,2,osm:node:5031705622 | osm:node:5040126121
Phú Thọ,go lao waterfall,2,osm:node:4142686008 | poi-google:d0d59d4a52a9bfb7345e007c
Phú Thọ,den thuong,2,osm:node:11395352271 | osm:node:1758539342
Phú Thọ,den mau,2,osm:node:5641365646 | osm:way:591475533
Tuyên Quang,beautiful view,2,osm:node:10314270710 | osm:node:6899543085
Tuyên Quang,,2,osm:node:12470652010 | osm:way:822407460
Thái Nguyên,nha tho thai nguyen,2,osm:node:9028513689 | osm:way:888793494
Bắc Ninh,chua phat tich,2,osm:node:4172408414 | osm:relation:18542793
Bắc Ninh,chua linh quang,2,osm:node:13038645753 | osm:node:6545871181
Bắc Ninh,chua lim,2,osm:node:4573262427 | osm:way:651631885
Bắc Ninh,chua hung phuc khu pho ha lieu,2,osm:node:12313213499 | osm:way:1324009704
Bắc Ninh,chua co phap,2,osm:way:577155250 | osm:way:577203288
An Giang,tinh xa ngoc long,2,osm:node:6423768537 | osm:way:685471004
An Giang,tinh xa buu vien,2,osm:node:6423768559 | osm:way:685471006
An Giang,thien mon nghiem tinh,2,osm:way:694327317 | osm:way:696931902
An Giang,thap xa loi,2,osm:node:12747321063 | osm:way:1376695093
An Giang,thanh that long kien,2,osm:node:6423768436 | osm:way:685470985
An Giang,thanh that huyen linh dan,2,osm:way:685664950 | osm:way:685664963
An Giang,tam buu pagoda,2,osm:node:6423768396 | osm:way:685470978
An Giang,san cong co tu,2,osm:way:696931900 | osm:way:696931901
Vĩnh Long,nha tho dinh thuan,2,osm:node:12819732620 | osm:way:1384656098
Vĩnh Long,dinh dai dinh,2,osm:node:10574519041 | osm:way:1134510624
Vĩnh Long,den tho liet si xa huu dinh,2,osm:node:10574606584 | osm:way:1134520817
Vĩnh Long,cong vien tran van on,2,osm:node:9911660993 | osm:way:1081410188
Vĩnh Long,cong vien chau thanh,2,osm:way:1025088295 | osm:way:1025088296
Tây Ninh,quan am tu,2,osm:node:11112399942 | osm:node:6239152619
Tây Ninh,dien tho phat mau,2,osm:way:663494736 | osm:way:666407657
Tây Ninh,cong vien thang loi,2,osm:way:336053458 | osm:way:336053459
Tây Ninh,cong vien 30 thang 4,2,osm:way:335039126 | osm:way:336053457
Tây Ninh,chua linh phuoc,2,osm:node:11093760288 | osm:node:11112363004
Tây Ninh,chua linh buu,2,osm:node:11097098444 | osm:way:664573960
Tây Ninh,buu phap dau su,2,osm:node:10820761946 | osm:node:6232955942
Tuyên Quang,scooter,2,osm:node:6202400185 | osm:node:6202400186
Tuyên Quang,nui co tien,2,osm:node:3108058417 | osm:node:4427121492
Tuyên Quang,dinh tan trao,2,osm:way:1392297985 | poi-google:5560ab68fff4a4c0650537ad
Tuyên Quang,bia di tich trung uong doan tai ban don huyen son duong tinh tuyen quang,2,osm:node:8322238172 | osm:way:1291950403
Đà Nẵng,cafe,2,osm:node:4312279989 | osm:node:4345669518
