preference_match,place_quality,travel_cost,data_confidence,scenario_id,metric,poi_id
0.02738381521475196,0.5,52.3,0.5,HN-DEV-01,road_time,osm:way:1117240270
0.8380464655332384,0.8998986433806332,970.9,0.5,HN-DEV-01,road_time,osm:way:1148571536
0.3624684002463002,0.854607843137255,1034.1,0.5,HN-DEV-01,road_time,osm:way:1185629560
0.0,0.5,97.3,0.5,HN-DEV-01,road_time,osm:way:1220299340
0.02604831204862184,0.5,67.0,0.25,HN-DEV-01,road_time,osm:way:1233838148
0.41771573279705504,0.8897403736179946,110.0,0.5,HN-DEV-01,road_time,osm:way:1234036432
0.3710234299281573,0.5,358.1,0.5,HN-DEV-01,road_time,osm:way:1253565814
0.0,0.8308600178890876,1191.9,0.5,HN-DEV-01,road_time,osm:way:1296795442
0.036529195285614484,0.8943953488372094,561.5,0.5,HN-DEV-01,road_time,osm:way:1307631429
0.7688790399350242,0.5,566.2,0.5,HN-DEV-01,road_time,osm:way:1481550721
0.0,0.8998310570824524,145.5,0.5,HN-DEV-01,road_time,osm:way:1510802054
0.7421097376636722,0.9403682432432431,28.0,0.25,HN-DEV-01,road_time,osm:way:178995262
0.784458796910923,0.8601411005845595,913.3,0.5,HN-DEV-01,road_time,osm:way:208255133
0.7333322628160588,0.8800364780868101,318.9,0.25,HN-DEV-01,road_time,osm:way:220302249
0.4050405059244653,0.5,237.3,0.25,HN-DEV-01,road_time,osm:way:228075195
0.7366582335861098,0.9000300431388661,157.9,0.25,HN-DEV-01,road_time,osm:way:28912942
0.7731580666248247,0.9198525641025641,557.5,0.5,HN-DEV-01,road_time,osm:way:339936730
0.8009289628876043,0.8999444135630906,174.3,0.5,HN-DEV-01,road_time,osm:way:340128580
0.7241249718748823,0.8999912485420625,406.8,0.5,HN-DEV-01,road_time,osm:way:37625751
0.8565642049785419,0.5,355.1,0.5,HN-DEV-01,road_time,osm:way:37629143
0.4765435216561237,0.5,154.7,0.25,HN-DEV-01,road_time,osm:way:37933050
0.8565342697270554,0.5,123.6,0.5,HN-DEV-01,road_time,osm:way:37933256
0.855183798323391,0.5,746.4,0.25,HN-DEV-01,road_time,osm:way:409390951
0.8472510240653848,0.5,645.1,0.25,HN-DEV-01,road_time,osm:way:480826771
0.37172933529595714,0.5,800.2,0.5,HN-DEV-01,road_time,osm:way:570587788
0.3716525696809271,0.5,892.5,0.5,HN-DEV-01,road_time,osm:way:660703679
0.37116322781187444,0.5,1047.9,0.5,HN-DEV-01,road_time,osm:way:675940105
0.8003020112649125,0.8800419931292913,301.3,0.5,HN-DEV-01,road_time,osm:way:696913691
0.7386477060199753,0.8602533862139344,361.4,0.5,HN-DEV-01,road_time,osm:way:697326496
0.8488473962634409,0.5,247.3,0.5,HN-DEV-01,road_time,osm:way:700145152
0.7637100662426102,0.5,107.3,0.5,HN-DEV-01,road_time,osm:way:700840711
0.7918440745328795,0.8998091883164537,123.0,0.5,HN-DEV-01,road_time,osm:way:704147278
0.001266705681019397,0.8003988535866361,1278.8,0.5,HN-DEV-01,road_time,osm:way:843085954
0.0034821603003994703,0.5,82.4,0.5,HN-DEV-01,road_time,osm:way:879841441
0.0,0.5,1244.9,0.5,HN-DEV-02,road_time,osm:node:10011953034
0.0,0.5,693.3,0.5,HN-DEV-02,road_time,osm:node:10082412846
0.39293686794000915,0.8686802047401802,262.7,0.5,HN-DEV-02,road_time,osm:node:10098130619
0.4168596819222164,0.5,449.8,0.5,HN-DEV-02,road_time,osm:node:10098130620
0.4168596819222164,0.5,521.0,0.5,HN-DEV-02,road_time,osm:node:10098130621
0.4168596819222164,0.5,655.2,0.5,HN-DEV-02,road_time,osm:node:10098130622
0.0,0.8435577279275572,381.5,0.5,HN-DEV-02,road_time,osm:node:10114776452
0.39289428587962555,0.9190093256396805,201.5,0.5,HN-DEV-02,road_time,osm:node:10179892274
0.0,0.5,252.9,0.5,HN-DEV-02,road_time,osm:node:10241471509
0.3840115536607747,0.8813089433934046,304.1,0.5,HN-DEV-02,road_time,osm:node:10245908053
0.43894788074356683,0.5,1082.8,0.5,HN-DEV-02,road_time,osm:node:10257020088
0.4388526681315237,0.5,339.3,0.5,HN-DEV-02,road_time,osm:node:10621408642
0.0,0.9353194064040636,334.4,0.5,HN-DEV-02,road_time,osm:node:10715935205
0.015665284950674135,0.9173391089108911,1374.7,0.25,HN-DEV-02,road_time,osm:node:10855443206
0.4279563852008965,0.5,238.4,0.5,HN-DEV-02,road_time,osm:node:10860106677
0.4406984866734792,0.5,995.7,0.5,HN-DEV-02,road_time,osm:node:11164095932
0.4603987491317844,0.5,312.6,0.5,HN-DEV-02,road_time,osm:node:11168787972
0.42143881479328416,0.5,191.6,0.5,HN-DEV-02,road_time,osm:node:11218013237
0.4603987491317844,0.5,352.8,0.5,HN-DEV-02,road_time,osm:node:11301609147
0.37500495822699875,0.5,176.9,0.25,HN-DEV-02,road_time,osm:node:11430174834
0.4603987491317844,0.5,399.6,0.5,HN-DEV-02,road_time,osm:node:11591740420
0.4603987491317844,0.5,374.9,0.25,HN-DEV-02,road_time,osm:node:11649693308
0.4386579160278004,0.5,406.7,0.25,HN-DEV-02,road_time,osm:node:11652527569
0.4029599248733281,0.5,177.2,0.5,HN-DEV-02,road_time,osm:node:11676661169
0.4603987491317844,0.5,275.3,0.5,HN-DEV-02,road_time,osm:node:11802021269
0.4603987491317844,0.5,404.2,0.5,HN-DEV-02,road_time,osm:node:11985320507
0.43855134378975336,0.891799460734749,160.9,0.5,HN-DEV-02,road_time,osm:node:12090398186
0.44411457389616277,0.5,539.3,0.5,HN-DEV-02,road_time,osm:node:12096567273
0.4405906684213848,0.5,440.7,0.5,HN-DEV-02,road_time,osm:node:12098955278
0.4603987491317844,0.5,517.2,0.5,HN-DEV-02,road_time,osm:node:12230139974
0.44370466837851674,0.5,450.6,0.5,HN-DEV-02,road_time,osm:node:12375798343
0.0,0.5,167.8,0.5,HN-DEV-02,road_time,osm:node:12434838529
0.0,0.5,255.2,0.5,HN-DEV-02,road_time,osm:node:12659358187
0.4246679779042874,0.5,172.0,0.5,HN-DEV-02,road_time,osm:node:12661290607
0.0,0.5,255.0,0.5,HN-DEV-02,road_time,osm:node:12692502183
0.0,0.5,168.8,0.5,HN-DEV-02,road_time,osm:node:12805994070
0.004411922165448627,0.8574178403755868,800.2,0.5,HN-DEV-02,road_time,osm:node:12814113704
0.014305449269674971,0.9288541666666668,982.4,0.5,HN-DEV-02,road_time,osm:node:12876453886
0.0,0.5,414.0,0.25,HN-DEV-02,road_time,osm:node:13041298732
0.443230842282875,0.5,697.7,0.5,HN-DEV-02,road_time,osm:node:13264733257
0.016045549683956953,0.9179861111111111,1461.9,0.25,HN-DEV-02,road_time,osm:node:13352652760
0.0048539392495996125,0.8407532956685498,934.8,0.5,HN-DEV-02,road_time,osm:node:13449384383
0.42886702148195943,0.5,181.0,0.5,HN-DEV-02,road_time,osm:node:13608814803
0.4603987491317844,0.5,428.8,0.5,HN-DEV-02,road_time,osm:node:2399239575
0.00472514991517753,0.8201189917018944,680.8,0.5,HN-DEV-02,road_time,osm:node:2471647464
0.4218217441959027,0.5,222.2,0.25,HN-DEV-02,road_time,osm:node:3496893646
0.43898958320110276,0.5,741.5,0.5,HN-DEV-02,road_time,osm:node:3711330943
0.017037013862447527,0.90585,562.6,0.25,HN-DEV-02,road_time,osm:node:3794435557
0.4255907519576073,0.5,192.7,0.5,HN-DEV-02,road_time,osm:node:4090272750
0.0,0.5,233.4,0.5,HN-DEV-02,road_time,osm:node:4227974092
0.4452078544165002,0.5,336.2,0.5,HN-DEV-02,road_time,osm:node:4366361510
0.013822976056046448,0.5,220.7,0.5,HN-DEV-02,road_time,osm:node:4437978297
0.9148604364245365,0.5,417.8,0.25,HN-DEV-02,road_time,osm:node:4499978190
0.4225988038713548,0.5,146.4,0.5,HN-DEV-02,road_time,osm:node:4576672189
0.420847109289408,0.5,231.6,0.5,HN-DEV-02,road_time,osm:node:4806921821
