priority,poi_id,name,location,category,latitude,longitude,fields_to_check,source_url
2,osm:node:9283475117,Cửa khẩu Nam Giang,Đà Nẵng,attraction,15.5412188,107.3716683,opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/node/9283475117
2,osm:node:9448910486,Thôn phú Nam,Đà Nẵng,park,15.5387773,108.5207988,opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/node/9448910486
2,osm:relation:2836882,Chùa Chúc Thánh,Đà Nẵng,temple,15.888974900000001,108.32703739759617,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/relation/2836882
2,osm:relation:3938690,Vườn Tượng An Hội,Đà Nẵng,park,15.876173349999998,108.32367568056002,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/relation/3938690
2,osm:relation:8552348,Ngũ Hành Sơn,Đà Nẵng,attraction,16.00402,108.26277454198583,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/relation/8552348
2,osm:way:1107633810,Ngũ Nhạc Linh Từ,Đà Nẵng,temple,16.026509349999998,108.031406675,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1107633810
2,osm:way:1115788711,Công viên Ngũ Hành,Đà Nẵng,park,15.99736295,108.25107254092916,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1115788711
2,osm:way:1115791518,Công viên Cổ Cò,Đà Nẵng,park,16.0020294,108.25008661956038,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1115791518
2,osm:way:1115795402,Công viên Đầm Sen,Đà Nẵng,park,15.9997698,108.25128986413571,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1115795402
2,osm:way:1126018374,Chùa Thanh Bình,Đà Nẵng,temple,16.081055149999997,108.21551459496965,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1126018374
2,osm:way:1141876010,Cổng Chùa Bà Mụ,Đà Nẵng,temple,15.8780477,108.3270176746096,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1141876010
2,osm:way:1152993502,Khu tưởng niệm Hà My,Đà Nẵng,historic,15.9251848,108.30649395,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1152993502
2,osm:way:1169531150,Công viên Hói Kiểng,Đà Nẵng,park,16.0053735,108.24470080859015,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1169531150
2,osm:way:1205388457,Chùa Linh Ứng,Đà Nẵng,temple,16.004283049999998,108.26434732431797,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1205388457
2,osm:way:1205388470,Chùa Từ Tâm,Đà Nẵng,temple,16.00413155,108.2614605,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1205388470
