poi_id,name,location,category,latitude,longitude,hours_raw,hours_status,data_status,source_url
osm:way:885744704,Bảo tàng tỉnh Hưng Yên,Hưng Yên,museum,20.6578643,106.05040089901695,,unknown,usable,https://www.openstreetmap.org/way/885744704
osm:way:885788725,Công viên VSIP Nghệ An,Nghệ An,park,18.67710375,105.63724149283199,,unknown,usable,https://www.openstreetmap.org/way/885788725
osm:way:886411672,Chùa Hang - Kim Sơn Tự,Thái Nguyên,temple,21.623217,105.84203053885184,,unknown,usable,https://www.openstreetmap.org/way/886411672
osm:way:886895052,Chùa Trà Thủy,Ninh Bình,temple,20.3066489,106.38845586855733,,unknown,usable,https://www.openstreetmap.org/way/886895052
osm:way:886895053,Nhà thờ tổ họ Phạm,Ninh Bình,temple,20.30432115,106.38981006695083,,unknown,usable,https://www.openstreetmap.org/way/886895053
osm:way:886897750,Nhà thờ tổ họ Ngô,Ninh Bình,temple,20.2906289,106.39080301431508,,unknown,usable,https://www.openstreetmap.org/way/886897750
osm:way:886904068,Khu tưởng niệm liệt sĩ huyện Xuân Trường,Ninh Bình,historic,20.29108485,106.33336291758621,,unknown,usable,https://www.openstreetmap.org/way/886904068
osm:way:886905149,Khu tưởng niệm cố TBT Trường Chinh,Ninh Bình,historic,20.291592950000002,106.33180465462823,,unknown,usable,https://www.openstreetmap.org/way/886905149
osm:way:888611681,Đài tưởng niệm huyện Đồng Hỷ,Thái Nguyên,historic,21.62519935,105.84377403374882,,unknown,usable,https://www.openstreetmap.org/way/888611681
osm:way:888629812,Chùa Bộc,Hà Nội,temple,21.00839055,105.82760223375558,,unknown,usable,https://www.openstreetmap.org/way/888629812
osm:way:888768368,Nhà thờ Ấp Thái,Thái Nguyên,temple,21.6283164,105.850077,,unknown,usable,https://www.openstreetmap.org/way/888768368
osm:way:888793494,Nhà thờ Thái Nguyên,Thái Nguyên,temple,21.5962385,105.84697892053768,,unknown,excluded,https://www.openstreetmap.org/way/888793494
osm:way:889113701,Công viên Mễ Trì,Hà Nội,park,21.0076823,105.77143181961127,,unknown,usable,https://www.openstreetmap.org/way/889113701
osm:way:891950562,Chùa Quan Nhân,Hà Nội,temple,21.004405900000002,105.8093612638328,,unknown,usable,https://www.openstreetmap.org/way/891950562
osm:way:892577251,Trung tâm nghệ thuật VCCA,Hà Nội,gallery,21.00343855,105.81490707672546,,unknown,usable,https://www.openstreetmap.org/way/892577251
osm:way:892583617,Vườn hoa,Hà Nội,park,20.96150685,105.74746746301878,,unknown,usable,https://www.openstreetmap.org/way/892583617
osm:way:892583620,Quảng trường,Hà Nội,park,20.9608816,105.74701399058065,,unknown,usable,https://www.openstreetmap.org/way/892583620
osm:way:894857495,Đình Yên Phụ,Hà Nội,temple,21.0521204,105.83612163215676,,unknown,usable,https://www.openstreetmap.org/way/894857495
osm:way:895209247,Công Viên Cần Thạnh,,park,10.4133175,106.97373219691364,,unknown,needs_review,https://www.openstreetmap.org/way/895209247
osm:way:895209260,Lăng Ông Thủy Tướng,Hồ Chí Minh,temple,10.47002175,106.9745143602283,,unknown,usable,https://www.openstreetmap.org/way/895209260
osm:way:895756059,Bãi Dâu,Hồ Chí Minh,beach,10.36855015,107.06181884701066,,unknown,usable,https://www.openstreetmap.org/way/895756059
osm:way:89608604,Bảo tàng thành phố Cần Thơ,Cần Thơ,museum,10.03490995,105.78683827624475,"Tu-Th 08:00-11:00,14:00-17:00; PH,Sa-Su 08:00-11:00,18:30-21:00",unknown,usable,https://www.openstreetmap.org/way/89608604
osm:way:89748520,Nhà thờ Chánh toà Cần Thơ,Cần Thơ,temple,10.02714975,105.78482740871812,,unknown,usable,https://www.openstreetmap.org/way/89748520
