interval_id,poi_id,day_of_week,specific_date,status,open_minute,close_minute,closes_next_day,observation_id
hours:0d8ad42d37dd9832f531b844,osm:node:11040495502,2,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:c7a8dbad3cb44aa093c59598,osm:node:11040495502,3,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:e685c2f6cd99809d4fe2c001,osm:node:11040495502,4,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:ce264777466ac3f0a6eaf674,osm:node:11040495502,5,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:14b93e944b5aeabf38fa1b60,osm:node:11040495502,6,,open,540,1200,0,obs:adfc8ff54d53717d049e5707
hours:0c032df0ea15839293e94004,osm:node:11425562478,0,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:e27a90139a78b0eb4ede9c23,osm:node:11425562478,1,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:47007ca320b0ce3550213c3c,osm:node:11425562478,2,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:c71eb1276f03f0fd296c8f02,osm:node:11425562478,3,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:65d135d17381154f3d968a61,osm:node:11425562478,4,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:9745d668de44619d0479b9d6,osm:node:11425562478,5,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:b783eac91252928850bd7147,osm:node:11425562478,6,,open,1140,1320,0,obs:a3844fe0b693f9883fa3a18a
hours:ffbde9a68586012c3d040577,osm:node:11478369608,0,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:3d67619dee84edbb5bc663cd,osm:node:11478369608,1,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:46e2833c88c982b8374bc62b,osm:node:11478369608,2,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:2783fa5b926645ddff876a3e,osm:node:11478369608,3,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:fd931246968c4a6485e6f715,osm:node:11478369608,4,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:efb6bad17bb374f9921ab5de,osm:node:11478369608,5,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:b6205373badf4cfded6e95c3,osm:node:11478369608,6,,open,360,1260,0,obs:5ff6ed75997edc39dd60d0c9
hours:bb857ac8c661b906b826be16,osm:node:1152345096,0,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:513a60a1cf94ead67eea7996,osm:node:1152345096,1,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:9e35fb8c59778b11f54560ec,osm:node:1152345096,2,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:334185d1c211c681c3693f2d,osm:node:1152345096,3,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:9a6a5167f8d879b899d597b3,osm:node:1152345096,4,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:54045853b70a7eb153a5d84d,osm:node:1152345096,5,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:e7b78936bfa575f1019fbc55,osm:node:1152345096,6,,open,480,1080,0,obs:4a72501a3dc6a88e8732a4df
hours:78204541da9ed096a4555639,osm:node:1152350875,0,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:16b99716974542952ae7dbea,osm:node:1152350875,0,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
hours:eec3d6f7df08feec85739ab1,osm:node:1152350875,1,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:1e040f3fffe031d1492f009e,osm:node:1152350875,1,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
hours:8855b05e21d5cc96a706513b,osm:node:1152350875,2,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:d21adcb9fe98f21848dfca38,osm:node:1152350875,2,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
hours:ce4e30cc3c58fd872b0392c9,osm:node:1152350875,3,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:c5587b34d1127f1c5619ca28,osm:node:1152350875,3,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
hours:79c0a997db02d1e624a3fde9,osm:node:1152350875,4,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:1a43c9c292fc52055bf140af,osm:node:1152350875,4,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
