poi_id,short_minutes,typical_minutes,long_minutes,method,observation_id,verified_at
osm:node:10780143806,20,45,90,category_default,,
osm:node:10784689992,20,45,90,category_default,,
osm:node:10784770501,20,45,75,category_default,,
osm:node:10793078957,20,45,75,category_default,,
osm:node:10796214322,20,45,90,category_default,,
osm:node:10796252680,20,45,90,category_default,,
osm:node:10796252681,20,45,90,category_default,,
osm:node:10796252682,20,45,90,category_default,,
osm:node:10796252683,20,45,90,category_default,,
osm:node:10796591857,30,60,120,category_default,,
osm:node:10796640412,20,45,90,category_default,,
osm:node:10796642592,20,45,90,category_default,,
osm:node:10796648604,30,60,120,category_default,,
osm:node:10796653112,20,45,90,category_default,,
osm:node:10796653113,20,45,90,category_default,,
osm:node:10796676851,20,45,90,category_default,,
osm:node:10796684358,20,45,90,category_default,,
osm:node:10798543042,20,45,90,category_default,,
osm:node:10798553205,20,45,90,category_default,,
osm:node:10799378372,20,45,90,category_default,,
osm:node:10799421189,20,45,90,category_default,,
osm:node:10799449017,20,45,90,category_default,,
osm:node:10799462574,20,45,90,category_default,,
osm:node:10799535502,20,45,90,category_default,,
osm:node:10799543263,20,45,90,category_default,,
osm:node:10799545886,20,45,90,category_default,,
osm:node:10799553236,20,45,90,category_default,,
osm:node:10799568891,20,45,90,category_default,,
osm:node:10799569664,20,45,90,category_default,,
osm:node:10799659819,20,45,90,category_default,,
osm:node:10799695714,20,45,90,category_default,,
osm:node:10800986234,30,60,120,category_default,,
osm:node:10816220134,20,45,90,category_default,,
osm:node:10816246751,20,45,90,category_default,,
osm:node:10816286901,20,45,90,category_default,,
osm:node:10816289725,20,45,90,category_default,,
osm:node:10816357834,20,45,90,category_default,,
osm:node:10820761946,20,45,90,category_default,,
osm:node:10820819105,30,60,120,category_default,,
osm:node:10821152105,30,60,120,category_default,,
osm:node:10821817401,20,45,90,category_default,,
osm:node:10828803976,15,30,45,category_default,,
osm:node:10830817805,30,60,120,category_default,,
osm:node:10831348406,30,60,120,category_default,,
osm:node:10833873535,30,60,120,category_default,,
osm:node:10839104679,20,45,90,category_default,,
osm:node:10839148596,20,45,90,category_default,,
osm:node:10839148972,20,45,90,category_default,,
osm:node:10839162706,20,45,90,category_default,,
osm:node:10845755547,15,30,45,category_default,,
osm:node:10855401087,20,45,90,category_default,,
osm:node:10855401101,20,45,90,category_default,,
osm:node:10855443206,20,45,90,category_default,,
osm:node:10855443210,20,45,90,category_default,,
osm:node:10856178288,20,45,90,category_default,,
osm:node:10856178293,20,45,90,category_default,,
osm:node:10856178304,20,45,90,category_default,,
osm:node:10856207109,20,45,90,category_default,,
osm:node:10856207114,20,45,90,category_default,,
osm:node:10856207119,20,45,90,category_default,,
osm:node:10856207127,20,45,90,category_default,,
osm:node:10856722509,20,45,90,category_default,,
osm:node:10860397055,20,45,90,category_default,,
osm:node:10872867309,20,45,90,category_default,,
osm:node:10875149933,20,45,90,category_default,,
osm:node:10895510913,20,45,90,category_default,,
osm:node:10927941369,20,45,90,category_default,,
osm:node:10928954005,30,60,120,category_default,,
osm:node:10932654353,20,45,90,category_default,,
osm:node:10932765436,20,45,90,category_default,,
osm:node:10932916144,30,60,120,category_default,,
osm:node:10967377350,20,45,90,category_default,,
osm:node:10967377351,20,45,90,category_default,,
osm:node:10967377352,20,45,90,category_default,,
osm:node:10967377372,20,45,90,category_default,,
osm:node:10967377396,20,45,90,category_default,,
osm:node:10969478979,30,60,120,category_default,,
osm:node:10988967691,20,45,75,category_default,,
osm:node:10989649005,30,60,120,category_default,,
osm:node:10992357078,20,45,75,category_default,,
osm:node:11018205222,20,45,90,category_default,,
osm:node:11018657148,20,45,90,category_default,,
osm:node:11025266969,20,45,90,category_default,,
osm:node:11025863783,20,45,75,category_default,,
osm:node:11039739472,20,45,90,category_default,,
osm:node:11040495502,30,60,90,category_default,,
osm:node:11043564235,20,45,75,category_default,,
osm:node:11043816631,20,45,75,category_default,,
osm:node:11044136617,20,45,90,category_default,,
osm:node:11044136618,20,45,90,category_default,,
osm:node:11044136619,20,45,90,category_default,,
osm:node:11044136620,20,45,90,category_default,,
osm:node:11044136621,20,45,90,category_default,,
osm:node:11044136622,20,45,75,category_default,,
osm:node:11044136623,20,45,90,category_default,,
osm:node:11044254016,20,45,90,category_default,,
osm:node:11044254017,20,45,90,category_default,,
osm:node:11046773515,20,45,90,category_default,,
osm:node:11046773516,20,45,90,category_default,,
osm:node:11046773517,20,45,90,category_default,,
osm:node:11046773533,20,45,90,category_default,,
osm:node:11046773534,20,45,90,category_default,,
osm:node:11046773535,20,45,90,category_default,,
osm:node:11046777432,30,60,120,category_default,,
osm:node:11047634305,30,60,120,category_default,,
osm:node:11048038005,30,60,120,category_default,,
osm:node:11048905175,20,45,90,category_default,,
osm:node:11048925184,20,45,90,category_default,,
osm:node:11048928332,20,45,90,category_default,,
osm:node:11048945454,20,45,90,category_default,,
osm:node:11048956624,20,45,90,category_default,,
osm:node:11048964321,20,45,90,category_default,,
osm:node:11052012805,30,60,120,category_default,,
osm:node:11052113104,30,60,120,category_default,,
osm:node:11052129961,20,45,90,category_default,,
osm:node:11054418024,20,45,90,category_default,,
osm:node:11054429258,20,45,90,category_default,,
osm:node:11054434696,30,60,120,category_default,,
osm:node:11054448200,20,45,90,category_default,,
osm:node:11056012164,30,60,120,category_default,,
osm:node:11056126202,20,45,90,category_default,,
osm:node:11056339475,20,45,90,category_default,,
osm:node:11056355060,20,45,90,category_default,,
osm:node:11056363251,20,45,75,category_default,,
osm:node:11056396325,20,45,90,category_default,,
osm:node:11056420243,20,45,90,category_default,,
osm:node:11056423853,20,45,90,category_default,,
osm:node:11056430479,20,45,90,category_default,,
osm:node:11056431339,20,45,90,category_default,,
osm:node:11056438888,20,45,90,category_default,,
osm:node:11056445882,20,45,90,category_default,,
osm:node:11056450283,20,45,90,category_default,,
osm:node:11056491237,20,45,90,category_default,,
osm:node:11056491238,20,45,75,category_default,,
osm:node:11056540263,20,45,90,category_default,,
osm:node:11056551715,20,45,90,category_default,,
osm:node:11056561135,20,45,90,category_default,,
osm:node:11058996842,20,45,90,category_default,,
osm:node:11063430386,20,45,90,category_default,,
osm:node:11063450896,20,45,90,category_default,,
osm:node:11073528059,20,45,90,category_default,,
osm:node:11073572858,20,45,90,category_default,,
osm:node:11073693960,20,45,90,category_default,,
osm:node:11073697318,20,45,90,category_default,,
osm:node:11076315747,20,45,90,category_default,,
osm:node:11076379963,20,45,90,category_default,,
osm:node:11081071414,30,60,120,category_default,,
osm:node:11086025940,20,45,75,category_default,,
osm:node:11091242593,20,45,90,category_default,,
osm:node:11093760288,20,45,90,category_default,,
osm:node:11093760290,20,45,90,category_default,,
osm:node:11093760291,20,45,90,category_default,,
osm:node:11093760299,20,45,90,category_default,,
osm:node:11096450829,30,60,120,category_default,,
osm:node:11096452341,20,45,90,category_default,,
osm:node:11096953847,20,45,90,category_default,,
osm:node:11097001144,20,45,90,category_default,,
osm:node:11097032156,20,45,90,category_default,,
osm:node:11097038893,20,45,90,category_default,,
osm:node:11097045304,20,45,75,category_default,,
osm:node:11097050855,20,45,90,category_default,,
osm:node:11097050863,20,45,90,category_default,,
osm:node:11097060483,20,45,90,category_default,,
osm:node:11097098444,20,45,90,category_default,,
osm:node:11101746405,20,45,90,category_default,,
osm:node:11110989130,20,45,90,category_default,,
osm:node:11111015684,20,45,90,category_default,,
osm:node:11111015782,20,45,90,category_default,,
osm:node:11111016085,20,45,90,category_default,,
osm:node:11111020884,20,45,75,category_default,,
osm:node:11111021645,20,45,90,category_default,,
osm:node:11111025710,20,45,90,category_default,,
osm:node:11111028937,20,45,90,category_default,,
osm:node:11112006405,30,60,120,category_default,,
osm:node:11112363004,20,45,90,category_default,,
osm:node:11112363682,20,45,90,category_default,,
osm:node:11112383412,20,45,90,category_default,,
osm:node:11112385428,20,45,90,category_default,,
osm:node:11112387932,20,45,90,category_default,,
osm:node:11112390649,20,45,90,category_default,,
osm:node:11112399942,20,45,90,category_default,,
osm:node:11112399943,20,45,90,category_default,,
osm:node:11112423718,20,45,90,category_default,,
osm:node:11115168859,20,45,75,category_default,,
osm:node:11118007501,20,45,90,category_default,,
osm:node:11118022591,20,45,90,category_default,,
osm:node:11119571878,20,45,90,category_default,,
osm:node:11119576393,20,45,90,category_default,,
osm:node:11119581847,20,45,90,category_default,,
osm:node:11119582321,20,45,90,category_default,,
osm:node:11119587343,20,45,90,category_default,,
osm:node:11119612420,20,45,90,category_default,,
osm:node:11123066994,20,45,90,category_default,,
osm:node:11123083197,20,45,90,category_default,,
osm:node:11123092310,20,45,90,category_default,,
osm:node:11123151698,20,45,90,category_default,,
osm:node:11140223636,15,30,45,category_default,,
osm:node:11140223637,15,30,45,category_default,,
osm:node:11140223638,20,45,90,category_default,,
osm:node:11140224953,15,30,45,category_default,,
osm:node:11140224954,15,30,45,category_default,,
osm:node:11140224955,15,30,45,category_default,,
osm:node:11146341765,20,45,90,category_default,,
osm:node:11150092705,180,300,480,category_default,,
osm:node:11153615402,20,45,90,category_default,,
osm:node:11153667509,20,45,90,category_default,,
osm:node:11159482422,20,45,90,category_default,,
osm:node:11159482642,20,45,90,category_default,,
osm:node:11159489778,20,45,90,category_default,,
osm:node:11159493226,20,45,90,category_default,,
osm:node:11160583732,20,45,75,category_default,,
osm:node:11160697951,20,45,90,category_default,,
osm:node:11161070774,30,60,120,category_default,,
osm:node:11161070775,30,60,120,category_default,,
osm:node:11162911005,20,45,90,category_default,,
osm:node:11163115162,20,45,90,category_default,,
osm:node:11166198530,20,45,75,category_default,,
osm:node:11166198534,20,45,75,category_default,,
osm:node:11171564836,30,60,120,category_default,,
osm:node:11174383670,20,45,90,category_default,,
osm:node:11174401448,30,60,120,category_default,,
osm:node:11176025737,30,60,120,category_default,,
osm:node:11183671105,20,45,90,category_default,,
osm:node:11184931964,20,45,90,category_default,,
osm:node:11212153237,30,60,120,category_default,,
osm:node:11217538773,30,60,120,category_default,,
osm:node:11225280530,20,45,90,category_default,,
osm:node:11225288584,20,45,90,category_default,,
osm:node:11240343026,20,45,90,category_default,,
osm:node:11240584042,20,45,90,category_default,,
osm:node:11240614001,20,45,90,category_default,,
osm:node:11240653265,20,45,90,category_default,,
osm:node:11244150989,20,45,90,category_default,,
osm:node:11244171528,20,45,90,category_default,,
