access_id,poi_id,latitude,longitude,kind,access_minutes,verified,method,observation_id
access:074d43aa5c3a275b20a8c582,osm:node:12078134485,21.0308949,105.8447914,poi_coordinate,10,0,osm_point,obs:14bf5607d8e24485c58929da
access:51f0fd53d050b8976e3eefc7,osm:node:12078134486,21.0309202,105.8448023,poi_coordinate,10,0,osm_point,obs:454ef50890528935c60ef56f
access:66a94bac82f7911640b2df15,osm:node:12078134487,21.0309507,105.8448153,poi_coordinate,10,0,osm_point,obs:ef8778bf240074ba8032273b
access:5444177cd352e7e996160b93,osm:node:12086810588,21.035114,105.8319808,poi_coordinate,10,0,osm_point,obs:26ac912cd63805c519f946d4
access:4708f2f71af2bc406a250b5c,osm:node:12088736973,21.2934908,105.7855704,poi_coordinate,10,0,osm_point,obs:68cf340e11a398406ad05bb5
access:71d36cc0a820db1b93907920,osm:node:12090162463,20.8080169,105.8533554,poi_coordinate,10,0,osm_point,obs:84257b42d27d1623b32e40b3
access:eec34e501a1a665d19d030a2,osm:node:12092826928,21.0319363,105.8370555,poi_coordinate,10,0,osm_point,obs:bd1e94483d9de22f28ad6f5d
access:d985f5c3ac554ac0d5892387,osm:node:12092826929,21.0318993,105.8368576,poi_coordinate,10,0,osm_point,obs:9ce937ae1ba3c0b9574a4755
access:15868ccb9188268a77794772,osm:node:12096567273,21.0623096,105.8231861,poi_coordinate,10,0,osm_point,obs:06c75acdb82245bbd47c2b66
access:81407cc6b792fb00ebbb506e,osm:node:12096628672,21.0128547,105.803441,poi_coordinate,10,0,osm_point,obs:21418d2bcf7b53ee6bac3c96
access:203cee4bfe37403509d261f1,osm:node:12098955278,21.0101045,105.8506388,poi_coordinate,10,0,osm_point,obs:1e78e368495758207644b0c3
access:dd9f5719f21a138dd7791de4,osm:node:12098955280,21.0114032,105.8507164,poi_coordinate,10,0,osm_point,obs:b642b72d80a13610d55c9d49
access:ecd58212ff57b215b31160c6,osm:node:12098955282,21.0112282,105.8493825,poi_coordinate,10,0,osm_point,obs:10661bda19b17e98c0b96fd5
access:a8f58c4180ce6590680faedf,osm:node:12098955283,21.0112535,105.8496303,poi_coordinate,10,0,osm_point,obs:fcdc81f27288fe5363958cd4
access:21ebccba0735fcdee2c3cd6f,osm:node:12098955284,21.0110994,105.8495785,poi_coordinate,10,0,osm_point,obs:3ce3e524e812aa73d03a6f08
access:9dd891228a898f34839293ed,osm:node:12101841706,21.0259396,105.8588079,poi_coordinate,10,0,osm_point,obs:8d3c778f67b113e910e87a13
access:b81f681bafcc517e901e4e1a,osm:node:12104684986,21.0161197,105.8512368,poi_coordinate,10,0,osm_point,obs:dae2c3cc0243da475f5a6db4
access:880e1e87c288f255d40cd77d,osm:node:12105866901,16.0552866,108.2447033,poi_coordinate,10,0,osm_point,obs:9ab6a11400a436f2f2173014
access:037f3861da1839d8f28df4ec,osm:node:12105870160,21.0163051,105.8509763,poi_coordinate,10,0,osm_point,obs:7dff34f66de2ae015aef3b28
access:b8ade305c4ec344686edb891,osm:node:12105915319,21.0424255,105.8400314,poi_coordinate,10,0,osm_point,obs:0016cb1432c4acc78c5e8867
access:11c01c76956400a667eeb908,osm:node:12106408165,21.0167316,105.8511645,poi_coordinate,10,0,osm_point,obs:be28632eab0ea96aec83e67b
access:159ffff1f9edd7d5ef28c8b1,osm:node:12106756164,21.028975,105.8485177,poi_coordinate,10,0,osm_point,obs:f9f3512f14a17ce89d52616f
access:a2798d621bf162ed8c870ef2,osm:node:12109633453,20.9742021,105.8686933,poi_coordinate,10,0,osm_point,obs:8b65fa048bfbbaf17a4475f4
access:f5160dc2b8c16a35cdc29862,osm:node:12109646801,16.0902277,108.2181825,poi_coordinate,10,0,osm_point,obs:952bd723ad0ddb10177f5464
access:e83ea26d9963467f79ef3c78,osm:node:12114045301,16.0734896,108.2427479,poi_coordinate,10,0,osm_point,obs:8613cc532accc9539bc2fead
access:76f6423debab80e7230996b0,osm:node:12116589717,21.01856,105.8495547,poi_coordinate,10,0,osm_point,obs:0ff75c91f518ec5af71d039d
access:6142454287ecd23f8d982249,osm:node:12116589721,21.0185218,105.8497899,poi_coordinate,10,0,osm_point,obs:f130ac86af4e562c5c7b25cd
access:94bd07f32929e4f2ef7e8e7a,osm:node:12116589723,21.0185096,105.8498791,poi_coordinate,10,0,osm_point,obs:3b8fc746437d1c24deddab90
access:81e9ed348e582b673549f835,osm:node:12117241051,21.012437,105.8487786,poi_coordinate,10,0,osm_point,obs:65b84f97b665136de3677b12
access:94e1d20d2dc0ee5ba0c9c158,osm:node:12118199551,21.035716,105.7823807,poi_coordinate,10,0,osm_point,obs:0cd4411d8dcb82085a68cca9
access:cc4ea629cc547e69c2a76f92,osm:node:12118199552,21.0363127,105.782485,poi_coordinate,10,0,osm_point,obs:7be6332f5323db3ce8e4a888
access:7edcc714b47cd615e5ab883a,osm:node:12118199553,21.0363218,105.7821873,poi_coordinate,10,0,osm_point,obs:c625c3078f42df17b59ea867
access:6565e87e2c6676bae61f8852,osm:node:12118199554,21.0362237,105.7825964,poi_coordinate,10,0,osm_point,obs:c20adf54d88a8aec9899a6ac
access:d6f2462e99de8ea4d5fbce00,osm:node:12118199559,21.0357426,105.7828273,poi_coordinate,10,0,osm_point,obs:de4ae9576d8c9fd7f1391b5b
access:9f98952965cbcd4ebf42af1f,osm:node:12135488901,21.0408081,105.84536,poi_coordinate,10,0,osm_point,obs:4d491733402be0892dc30d6f
access:50f160129ac068c6923ba3a3,osm:node:12135516703,21.0420419,105.8438295,poi_coordinate,10,0,osm_point,obs:2e17bd7e2fd80116a184bd7c
access:5d618559e2c8e8d137cd3fe9,osm:node:12141480950,21.2934335,105.7849998,poi_coordinate,10,0,osm_point,obs:4bd72555f129487fb2529b7c
access:f9dbedbd0cb527a186f36bb0,osm:node:12145515001,16.0627879,108.2422158,poi_coordinate,10,0,osm_point,obs:d2fd71c86b1921afc3ccfc46
access:1c649623ace778761f686e4e,osm:node:12147949702,16.075246,108.2217528,poi_coordinate,10,0,osm_point,obs:2571047170fec75d9c651571
access:fbd10dd0b32e20d12ace041d,osm:node:12149714102,21.032057,105.8521518,poi_coordinate,10,0,osm_point,obs:eb7674b8c4d45d1cebf53946
access:dd984d905fd4e116fca06c32,osm:node:12151158201,21.0254551,105.8528885,poi_coordinate,10,0,osm_point,obs:ab0a7793934cfbd77f932046
access:c6859ecc8b300cd7bfae3ac9,osm:node:12155433304,21.0312868,105.8552544,poi_coordinate,10,0,osm_point,obs:d33a9eb047aef581b6556e7b
access:40d3a87d5ef003693847a8f3,osm:node:12164856801,21.0171195,105.8491278,poi_coordinate,10,0,osm_point,obs:aeadf5d4f90ec93a2c9b7e92
access:a3af5942b1748a47aa51176c,osm:node:12164856802,21.0171042,105.8490057,poi_coordinate,10,0,osm_point,obs:1f33748d840d60031d90cccb
access:65a90fa8c1c0c0245c0f3653,osm:node:12164856901,21.017111,105.8487503,poi_coordinate,10,0,osm_point,obs:073d4df8e0f2a08ccc75195a
access:fd01ac1437ccf2720fd6f887,osm:node:12164857001,21.0171081,105.8488996,poi_coordinate,10,0,osm_point,obs:20d4cbb5d4b932127892c85b
access:9365b35e25d317f12737fb94,osm:node:12164910901,21.0167654,105.8502544,poi_coordinate,10,0,osm_point,obs:7ffb35fa8608966e1e59111f
access:7ccd10dade6e3d71dcd4973a,osm:node:12164911001,21.0167092,105.8502554,poi_coordinate,10,0,osm_point,obs:87a517178841f5bd83967c1e
access:d2c12bbb5044addf339099e6,osm:node:12165016301,21.0143166,105.849969,poi_coordinate,10,0,osm_point,obs:a19a204b90eaec5bcac968ab
