poi_id,name,location,category,reasons,evidence_count,source_url,dataset_version
osm:way:1557512914,Chùa Cảm Ứng,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557512914,v2-c829c8f3e2414108
osm:way:1557512919,Đền Sòng Sơn,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557512919,v2-c829c8f3e2414108
osm:way:1557512929,Đền Nhà Bà,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557512929,v2-c829c8f3e2414108
osm:way:1557512956,Đền Tương Thuận,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557512956,v2-c829c8f3e2414108
osm:way:1557584568,Miếu,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557584568,v2-c829c8f3e2414108
osm:way:1557804638,Đình Tú Thị,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557804638,v2-c829c8f3e2414108
osm:way:1557804643,Đình Đức Môn,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557804643,v2-c829c8f3e2414108
osm:way:1557804650,Chùa Thái Cam,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557804650,v2-c829c8f3e2414108
osm:way:1557804651,Đền Vũ Thạch,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557804651,v2-c829c8f3e2414108
osm:way:1557804659,Đền Hỏa Thần,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557804659,v2-c829c8f3e2414108
osm:way:1557811356,Miếu Hai Bà Trưng,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557811356,v2-c829c8f3e2414108
osm:way:1557811367,Chùa Hương Tuyết,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557811367,v2-c829c8f3e2414108
osm:way:1557811373,Đình Đại,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1557811373,v2-c829c8f3e2414108
osm:way:1558489101,Công Viên Hoa Hồng,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/1558489101,v2-c829c8f3e2414108
osm:way:175975025,Chùa Láng,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/175975025,v2-c829c8f3e2414108
osm:way:178995269,Tháp Rùa,Hà Nội,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/178995269,v2-c829c8f3e2414108
osm:way:178995271,Đình Trấn Ba,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/178995271,v2-c829c8f3e2414108
osm:way:178995315,Hồ Văn,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/178995315,v2-c829c8f3e2414108
osm:way:181575389,Công viên Cầu Giấy,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/181575389,v2-c829c8f3e2414108
osm:way:185531692,Hậu Lâu,Hà Nội,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/185531692,v2-c829c8f3e2414108
osm:way:185535416,Nhà D67,Hà Nội,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/185535416,v2-c829c8f3e2414108
osm:way:185536369,Triển lãm Tranh dân gian Việt Nam,Hà Nội,gallery,insufficient_service_evidence,0,https://www.openstreetmap.org/way/185536369,v2-c829c8f3e2414108
osm:way:185540946,Công viên Lê-nin,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/185540946,v2-c829c8f3e2414108
osm:way:185542284,Công trình Vaxuco,Hà Nội,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/185542284,v2-c829c8f3e2414108
osm:way:194445558,Thung lũng hoa Hồ Tây,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/194445558,v2-c829c8f3e2414108
osm:way:194852648,Đình Hoàng Cầu,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/194852648,v2-c829c8f3e2414108
osm:way:198804448,A1,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804448,v2-c829c8f3e2414108
osm:way:198804451,A10,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804451,v2-c829c8f3e2414108
osm:way:198804453,D1,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804453,v2-c829c8f3e2414108
osm:way:198804455,D2,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804455,v2-c829c8f3e2414108
