record_id,query
focus-hn-008,"Đền Ngọc Sơn, phố Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội"
focus-dn-016,"Bãi biển Mỹ Khê, đường Võ Nguyên Giáp, Đà Nẵng"
